Tipo Responsable Academica;Responsable Académica;Tipo Propuesta Formativa;Propuesta Formativa;Año;Alumnos (NI+RI);Nuevos Inscriptos;Egresados
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1991;10,00;10,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1992;2,00;2,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1993;11,00;11,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1994;8,00;8,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1995;97,00;97,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1996;52,00;8,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1997;70,00;25,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1998;82,00;26,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;1999;92,00;30,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2000;104,00;31,00;4,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2001;100,00;10,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2002;84,00;3,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2003;70,00;4,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2004;66,00;8,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2005;66,00;14,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2006;79,00;24,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2007;84,00;20,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2008;98,00;26,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2009;122,00;27,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2010;251,00;47,00;47,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2011;177,00;53,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2012;190,00;49,00;3,00
