Departamento,Modalidad,Nivel,Carrera,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Departamento de Ciencia y Tecnología,presencial,Grado,Arquitectura Naval,10,2,11,8,97,52,70,82,92,104,100,84,70,66,66,79,84,98,122,251,177,190,202,214,205,275,231,227,220,205,305,148,130,116,115
Departamento de Ciencia y Tecnología,presencial,Grado,Ingeniería en Alimentos,31,19,11,20,37,31,128,89,98,105,116,131,164,186,197,227,261,307,372,397,416,451,485,485,446,532,504,474,476,498,782,433,432,481,387
Departamento de Ciencia y Tecnología,presencial,Grado,Ingeniería en Automatización y Control Industrial,52,1,,2,,,161,81,72,74,92,119,142,162,159,190,219,283,341,415,428,412,426,404,377,434,436,438,400,371,664,312,282,322,279
Departamento de Ciencia y Tecnología,presencial,Grado,Licenciatura en Bioinformática,,,,,,,,,,,,,,,,,,,,,,,,,5,19,22,29,38,46,66,56,56,70,111
Departamento de Ciencia y Tecnología,presencial,Grado,Licenciatura en Biotecnología,141,76,50,53,55,42,228,161,160,158,182,179,247,287,314,377,445,529,689,818,877,863,842,836,803,841,813,766,796,756,1173,685,760,953,840
Departamento de Ciencia y Tecnología,presencial,Grado,Licenciatura en Informática,,,,,,,,,,,,,,,,,,,,,,,23,114,181,489,660,738,966,1051,1288,1258,2773,3272,2253
Departamento de Ciencia y Tecnología,presencial,Grado,Técnicatura Laboratorista Universitario,,,,,,,,,1,,,,,,,,,,,,,,31,29,20,22,13,5,,,,,,,
Departamento de Ciencia y Tecnología,presencial,Pregrado,Tecnicatura Universitaria en Biotecnología,,,,,,,,,,,,,,,,,,,,,,,,,,15,92,59,74,77,321,195,249,293,410
Departamento de Ciencia y Tecnología,presencial,Pregrado,Tecnicatura Universitaria en Programación Informática,,,,,,,,,,,,,,1,,,41,112,149,245,328,360,419,419,441,632,732,821,969,1101,1525,1623,4119,4517,2941
Departamento de Ciencia y Tecnología,presencial,Pregrado,Tecnicatura Universitaria en Química,,,,,,,,,,,,,,,,,,,,,,,,,31,119,165,185,201,211,302,242,306,282,290
Departamento de Ciencia y Tecnología,presencial,Pregrado,Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,17,84,96,106,131,122,138,97,97,123,106
Departamento de Ciencia y Tecnología,virtual,Pregrado,Tecnicatura Universitaria en Administración de Redes y Servicios TIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
Departamento de Ciencia y Tecnología,virtual,Pregrado,Tecnicatura Universitaria en Higiene y Seguridad en el Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,575,857,1007,1169,1138
Departamento de Ciencias Sociales,presencial,Grado,Enfermería Universitaria,6,292,19,9,62,145,275,416,368,459,677,653,708,568,471,462,248,174,155,227,191,152,141,77,41,29,3,1,1,4,253,5,1,1,1
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Ciencias Sociales,,,,,,,,,,,,,1,4,6,53,70,91,124,173,246,278,332,305,278,357,320,297,337,330,359,269,270,317,269
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Comunicación Social,72,36,30,32,24,27,178,135,126,133,150,187,210,249,252,267,286,363,446,555,588,636,683,734,672,789,808,797,830,827,828,709,711,784,715
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Comunicación Social (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,,,2,19,40,59,66,67,60,52,48,39,51,46
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial,,,,,,,,,,,,,,,,,,,,,,,,197,223,272,314,424,505,473,619,486,338,305,267
