Año;NI TPI;NI LI;NI TPI+LI;Egresados TPI;Egresados LI;Egresados TPI+LI
2007;41;;41;0;;0
2008;94;;94;0;;0
2009;102;;102;0;;0
2010;138;;138;0;;0
2011;149;;149;0;;0
2012;113;;113;2;;2
2013;166;23;189;4;0;4
2014;102;94;196;1;0;1
2015;89;97;186;11;0;11
2016;302;337;639;12;0;12
2017;284;347;631;15;0;15
2018;322;321;643;21;0;21
2019;466;444;910;21;1;22
2020;447;397;844;22;0;22
2021;395;308;703;18;2;20
2022;797;484;1281;25;3;28
2023;2093;1248;3341;38;9;47
2024;1788;1252;3040;36;19;55
2025;418;304;722;7;5;12
